,ChiSquaredMonteCarlo_comparisons
DNMT3A___LAML_TCGA_VS_CHR_NTUH_BP_CMML,0.849915008
DNMT3A___LAML_TCGA_VS_CHR_NTUH_BP_MDS,0.687331267
DNMT3A___LAML_TCGA_VS_CHR_NTUH_BP_MPN,0.810518948
DNMT3A___CHR_NTUH_BP_CMML_VS_LAML_TCGA,0.849915008
DNMT3A___CHR_NTUH_BP_CMML_VS_CHR_NTUH_BP_MDS,1
DNMT3A___CHR_NTUH_BP_CMML_VS_CHR_NTUH_BP_MPN,0.776122388
DNMT3A___CHR_NTUH_BP_MDS_VS_LAML_TCGA,0.687331267
DNMT3A___CHR_NTUH_BP_MDS_VS_CHR_NTUH_BP_CMML,1
DNMT3A___CHR_NTUH_BP_MDS_VS_CHR_NTUH_BP_MPN,0.614138586
DNMT3A___CHR_NTUH_BP_MPN_VS_LAML_TCGA,0.810518948
DNMT3A___CHR_NTUH_BP_MPN_VS_CHR_NTUH_BP_CMML,0.776122388
DNMT3A___CHR_NTUH_BP_MPN_VS_CHR_NTUH_BP_MDS,0.605439456
IDH1___LAML_TCGA_VS_CHR_NTUH_BP_CMML,0.590740926
IDH1___LAML_TCGA_VS_CHR_NTUH_BP_MDS,0.847915208
IDH1___LAML_TCGA_VS_CHR_NTUH_BP_MPN,1
IDH1___CHR_NTUH_BP_CMML_VS_LAML_TCGA,0.593740626
IDH1___CHR_NTUH_BP_CMML_VS_CHR_NTUH_BP_MDS,0.766023398
IDH1___CHR_NTUH_BP_CMML_VS_CHR_NTUH_BP_MPN,1
IDH1___CHR_NTUH_BP_MDS_VS_LAML_TCGA,0.847915208
IDH1___CHR_NTUH_BP_MDS_VS_CHR_NTUH_BP_CMML,0.766023398
IDH1___CHR_NTUH_BP_MDS_VS_CHR_NTUH_BP_MPN,1
IDH1___CHR_NTUH_BP_MPN_VS_LAML_TCGA,1
IDH1___CHR_NTUH_BP_MPN_VS_CHR_NTUH_BP_CMML,1
IDH1___CHR_NTUH_BP_MPN_VS_CHR_NTUH_BP_MDS,1
NPM1___LAML_TCGA_VS_CHR_NTUH_BP_CMML,0.125087491
NPM1___LAML_TCGA_VS_CHR_NTUH_BP_MDS,1.00E-04
NPM1___LAML_TCGA_VS_CHR_NTUH_BP_MPN,0.0279972
NPM1___CHR_NTUH_BP_CMML_VS_LAML_TCGA,0.121687831
NPM1___CHR_NTUH_BP_CMML_VS_CHR_NTUH_BP_MDS,0.146685331
NPM1___CHR_NTUH_BP_CMML_VS_CHR_NTUH_BP_MPN,0.467953205
NPM1___CHR_NTUH_BP_MDS_VS_LAML_TCGA,1.00E-04
NPM1___CHR_NTUH_BP_MDS_VS_CHR_NTUH_BP_CMML,0.146685331
NPM1___CHR_NTUH_BP_MDS_VS_CHR_NTUH_BP_MPN,1
NPM1___CHR_NTUH_BP_MPN_VS_LAML_TCGA,0.0279972
NPM1___CHR_NTUH_BP_MPN_VS_CHR_NTUH_BP_CMML,0.461953805
NPM1___CHR_NTUH_BP_MPN_VS_CHR_NTUH_BP_MDS,1
PTPN11___LAML_TCGA_VS_CHR_NTUH_BP_CMML,1
PTPN11___LAML_TCGA_VS_CHR_NTUH_BP_MDS,1
PTPN11___LAML_TCGA_VS_CHR_NTUH_BP_MPN,0.389361064
PTPN11___CHR_NTUH_BP_CMML_VS_LAML_TCGA,1
PTPN11___CHR_NTUH_BP_CMML_VS_CHR_NTUH_BP_MDS,1
PTPN11___CHR_NTUH_BP_CMML_VS_CHR_NTUH_BP_MPN,0.515848415
PTPN11___CHR_NTUH_BP_MDS_VS_LAML_TCGA,1
