,ChiSquaredMonteCarlo_comparisons
BP_CMML_vs_BeatAML,1.00E-04
BP_CMML_vs_LAML.TCGA,1.00E-04
BP_CMML_vs_BP_MDS,0.03329667
BP_CMML_vs_BP_MPN,0.00019998
BeatAML_vs_BP_CMML,1.00E-04
BeatAML_vs_LAML.TCGA,0.099290071
BeatAML_vs_BP_MDS,1.00E-04
BeatAML_vs_BP_MPN,1.00E-04
LAML.TCGA_vs_BP_CMML,1.00E-04
LAML.TCGA_vs_BeatAML,0.102189781
LAML.TCGA_vs_BP_MDS,1.00E-04
LAML.TCGA_vs_BP_MPN,1.00E-04
BP_MDS_vs_BP_CMML,0.03419658
BP_MDS_vs_BeatAML,1.00E-04
BP_MDS_vs_LAML.TCGA,1.00E-04
BP_MDS_vs_BP_MPN,1.00E-04
BP_MPN_vs_BP_CMML,0.00019998
BP_MPN_vs_BeatAML,1.00E-04
BP_MPN_vs_LAML.TCGA,1.00E-04
BP_MPN_vs_BP_MDS,1.00E-04
